study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLAC,18.14545,1.27922,229.0,15.62491,20.666,0.5,53
sbmd,PANAS,self,self,ACAC,18.64865,1.559644,229.0,15.57556,21.72174,0.5,53
sbmd,PANAS,self,self,PLPL,12.0,1.023544,229.0,9.983232,14.01677,0.5,54
sbmd,PANAS,self,self,ACPL,11.95161,1.155379,229.0,9.675081,14.22814,0.5,54
sbmd,PANAS,self,self,PLAC,19.10909,1.226701,229.0,16.69203,21.52616,0.5,54
sbmd,PANAS,self,self,ACAC,19.62162,1.495613,229.0,16.6747,22.56854,0.5,54
sbmd,PANAS,self,self,PLPL,12.07595,1.137152,229.0,9.835332,14.31657,0.5,55
sbmd,PANAS,self,self,ACPL,13.58065,1.283619,229.0,11.05143,16.10986,0.5,55
sbmd,PANAS,self,self,PLAC,18.12727,1.362858,229.0,15.44193,20.81262,0.5,55
sbmd,PANAS,self,self,ACAC,18.97297,1.661618,229.0,15.69896,22.24699,0.5,55
sbmd,PANAS,self,self,PLPL,10.62025,0.9988814,229.0,8.65208,12.58843,0.5,56
sbmd,PANAS,self,self,ACPL,14.45161,1.127539,229.0,12.22994,16.67329,0.5,56
sbmd,PANAS,self,self,PLAC,17.89091,1.197143,229.0,15.53209,20.24973,0.5,56
sbmd,PANAS,self,self,ACAC,19.48649,1.459576,229.0,16.61057,22.3624,0.5,56
sbmd,PANAS,self,self,PLPL,10.22785,1.048897,229.0,8.161126,12.29457,0.5,57
sbmd,PANAS,self,self,ACPL,12.64516,1.183997,229.0,10.31224,14.97808,0.5,57
sbmd,PANAS,self,self,PLAC,19.89091,1.257086,229.0,17.41398,22.36784,0.5,57
sbmd,PANAS,self,self,ACAC,17.0,1.532659,229.0,13.98008,20.01992,0.5,57
sbmd,PANAS,self,self,PLPL,12.20253,1.035226,229.0,10.16275,14.24232,0.5,58
sbmd,PANAS,self,self,ACPL,12.51613,1.168565,229.0,10.21362,14.81864,0.5,58
sbmd,PANAS,self,self,PLAC,18.63636,1.240702,229.0,16.19171,21.08101,0.5,58
sbmd,PANAS,self,self,ACAC,18.16216,1.512683,229.0,15.18161,21.14272,0.5,58
sbmd,PANAS,self,self,PLPL,10.17722,1.085955,229.0,8.037474,12.31696,0.5,59
sbmd,PANAS,self,self,ACPL,10.25806,1.225828,229.0,7.842721,12.67341,0.5,59
sbmd,PANAS,self,self,PLAC,16.32727,1.3015,229.0,13.76283,18.89172,0.5,59
sbmd,PANAS,self,self,ACAC,19.45946,1.586809,229.0,16.33285,22.58607,0.5,59
sbmd,PANAS,self,self,PLPL,11.37975,0.9514132,229.0,9.505104,13.25439,0.5,60
sbmd,PANAS,self,self,ACPL,14.41935,1.073957,229.0,12.30325,16.53546,0.5,60
sbmd,PANAS,self,self,PLAC,20.23636,1.140253,229.0,17.98963,22.48309,0.5,60
sbmd,PANAS,self,self,ACAC,19.32432,1.390215,229.0,16.58508,22.06357,0.5,60
sbmd,PANAS,self,self,PLPL,9.405063,1.158228,229.0,7.122918,11.68721,0.5,61
sbmd,PANAS,self,self,ACPL,10.53226,1.30741,229.0,7.956168,13.10835,0.5,61
sbmd,PANAS,self,self,PLAC,18.18182,1.388117,229.0,15.4467,20.91693,0.5,61
sbmd,PANAS,self,self,ACAC,16.78378,1.692414,229.0,13.44909,20.11848,0.5,61
sbmd,PANAS,self,self,PLPL,11.60759,1.054784,229.0,9.529272,13.68592,0.5,62
sbmd,PANAS,self,self,ACPL,11.91935,1.190642,229.0,9.57334,14.26537,0.5,62
sbmd,PANAS,self,self,PLAC,17.45455,1.264142,229.0,14.96371,19.94538,0.5,62
sbmd,PANAS,self,self,ACAC,21.35135,1.541261,229.0,18.31448,24.38822,0.5,62
sbmd,PANAS,self,self,PLPL,9.848101,1.129905,229.0,7.621763,12.07444,0.5,63
sbmd,PANAS,self,self,ACPL,11.16129,1.275438,229.0,8.648195,13.67439,0.5,63
sbmd,PANAS,self,self,PLAC,19.27273,1.354173,229.0,16.6045,21.94096,0.5,63
sbmd,PANAS,self,self,ACAC,18.16216,1.651028,229.0,14.90901,21.41531,0.5,63
sbmd,PANAS,self,self,PLPL,9.670886,1.045172,229.0,7.611503,11.73027,0.5,64
sbmd,PANAS,self,self,ACPL,12.8871,1.179792,229.0,10.56246,15.21173,0.5,64
sbmd,PANAS,self,self,PLAC,17.78182,1.252622,229.0,15.31368,20.24996,0.5,64
sbmd,PANAS,self,self,ACAC,18.72973,1.527216,229.0,15.72054,21.73892,0.5,64
sbmd,PANAS,self,self,PLPL,12.31646,1.092416,229.0,10.16398,14.46893,0.5,65
sbmd,PANAS,self,self,ACPL,11.70968,1.233121,229.0,9.279963,14.13939,0.5,65
sbmd,PANAS,self,self,PLAC,18.70909,1.309243,229.0,16.12939,21.28879,0.5,65
sbmd,PANAS,self,self,ACAC,19.32432,1.59625,229.0,16.17911,22.46954,0.5,65
sbmd,PANAS,self,self,PLPL,10.51899,1.089495,229.0,8.372271,12.6657,0.5,66
sbmd,PANAS,self,self,ACPL,14.20968,1.229824,229.0,11.78646,16.63289,0.5,66
sbmd,PANAS,self,self,PLAC,17.6,1.305742,229.0,15.0272,20.1728,0.5,66
sbmd,PANAS,self,self,ACAC,19.75676,1.591981,229.0,16.61995,22.89356,0.5,66
sbmd,PANAS,self,self,PLPL,12.60759,1.036424,229.0,10.56545,14.64974,0.5,67
sbmd,PANAS,self,self,ACPL,11.43548,1.169918,229.0,9.130305,13.74066,0.5,67
sbmd,PANAS,self,self,PLAC,17.54545,1.242138,229.0,15.09797,19.99293,0.5,67
sbmd,PANAS,self,self,ACAC,19.45946,1.514434,229.0,16.47545,22.44347,0.5,67
sbmd,PANAS,self,self,PLPL,12.29114,1.030032,229.0,10.26159,14.32069,0.5,68
