study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,1.0,231.0,53.93546894096322,0.1857805528308275,3.527059401257726e-12,0.0,14
sbmd,creativity,self,self,with_guess,1.0,231.0,53.93546894096322,0.1857805528308275,3.527059401257726e-12,0.0,14
sbmd,creativity,self,self,without_guess,1.0,231.0,56.81902684119347,0.19393793194913445,1.0803958053815748e-12,0.0,15
sbmd,creativity,self,self,with_guess,1.0,231.0,56.81902684119347,0.19393793194913445,1.0803958053815748e-12,0.0,15
sbmd,creativity,self,self,without_guess,1.0,231.0,41.200285311189035,0.14768641871638977,7.714728330715341e-10,0.0,16
sbmd,creativity,self,self,with_guess,1.0,231.0,41.200285311189035,0.14768641871638977,7.714728330715341e-10,0.0,16
sbmd,creativity,self,self,without_guess,1.0,231.0,52.37057258118878,0.18128407658304235,6.739697057946075e-12,0.0,17
sbmd,creativity,self,self,with_guess,1.0,231.0,52.37057258118878,0.18128407658304235,6.739697057946075e-12,0.0,17
sbmd,creativity,self,self,without_guess,1.0,231.0,34.54326352664408,0.12631939172984674,1.4468558772075926e-08,0.0,18
sbmd,creativity,self,self,with_guess,1.0,231.0,34.54326352664408,0.12631939172984674,1.4468558772075926e-08,0.0,18
sbmd,creativity,self,self,without_guess,1.0,231.0,56.320539622535314,0.19253945330609556,1.324370796975062e-12,0.0,19
sbmd,creativity,self,self,with_guess,1.0,231.0,56.320539622535314,0.19253945330609556,1.324370796975062e-12,0.0,19
sbmd,creativity,self,self,without_guess,1.0,231.0,34.40143984100137,0.12585251934206454,1.541540512138143e-08,0.0,20
sbmd,creativity,self,self,with_guess,1.0,231.0,34.40143984100136,0.12585251934206443,1.5415405121381482e-08,0.0,20
sbmd,creativity,self,self,without_guess,1.0,231.0,36.25268880309374,0.13190770488025727,6.760439594646853e-09,0.0,21
sbmd,creativity,self,self,with_guess,1.0,231.0,36.25268880309374,0.13190770488025727,6.760439594646853e-09,0.0,21
sbmd,creativity,self,self,without_guess,1.0,231.0,77.47758662939663,0.2479194273562455,3.207396511170713e-16,0.0,22
